%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1549409014546818993,33363,1549409011933705263,map,0,2,33.9461798183,-83.3768337083,209.725,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546863164,33364,1549409011958763263,map,0,2,33.9461798183,-83.3768337083,209.725,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546869990,33365,1549409011983872513,map,0,2,33.9461798183,-83.3768336917,209.723,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546875291,33366,1549409012008741680,map,0,2,33.9461798183,-83.3768336917,209.723,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546917611,33367,1549409012033699930,map,0,2,33.9461798183,-83.3768336917,209.723,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546930238,33368,1549409012058824180,map,0,2,33.9461798183,-83.3768336917,209.723,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546936056,33369,1549409012083804263,map,0,2,33.946179825,-83.3768337033,209.722,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546946652,33370,1549409012108704263,map,0,2,33.946179825,-83.3768337033,209.722,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546952418,33371,1549409012133725930,map,0,2,33.946179825,-83.3768337033,209.722,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
1549409014546958062,33372,1549409012158826180,map,0,2,33.946179825,-83.3768337033,209.722,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,2
